kingdom;phylum;class;order;family;genus;species;taxa
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus_bromii;t__SGB4285
k__Bacteria;p__Firmicutes;c__CFGB14936;o__OFGB14936;f__FGB14936;g__GGB3256;s__GGB3256_SGB4303;t__SGB4303
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__SGB17244_group
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_aerofaciens;t__SGB14535_group
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus_eutactus;t__SGB5117
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Candidatus_Cibionibacter;s__Candidatus_Cibionibacter_quicibialis;t__SGB15286
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_SGB14861;t__SGB14861
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__Dialister_invisus;t__SGB5825_group
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__SGB17248
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_muciniphila;t__SGB9226
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster_SGB14313;t__SGB14313
k__Bacteria;p__Firmicutes;c__CFGB10477;o__OFGB10477;f__FGB10477;g__GGB9345;s__GGB9345_SGB14311;t__SGB14311
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9635;s__GGB9635_SGB15106;t__SGB15106
k__Bacteria;p__Firmicutes;c__CFGB1355;o__OFGB1355;f__FGB1355;g__GGB3306;s__GGB3306_SGB4373;t__SGB4373
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii;t__SGB15323
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB9677;s__GGB9677_SGB15180;t__SGB15180
k__Bacteria;p__Firmicutes;c__CFGB2982;o__OFGB2982;f__FGB2982;g__GGB9342;s__GGB9342_SGB14306;t__SGB14306
k__Bacteria;p__Firmicutes;c__CFGB9989;o__OFGB9989;f__FGB9989;g__GGB9712;s__GGB9712_SGB15244;t__SGB15244
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes_hadrus;t__SGB4540_group
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_unclassified_SGB15090;t__SGB15090
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__Ruminococcus_torques;t__SGB4563
k__Bacteria;p__Actinobacteria;c__CFGB12107;o__OFGB12107;f__FGB12107;g__GGB34797;s__GGB34797_SGB14322;t__SGB14322
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea;s__Dorea_longicatena;t__SGB4581
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus_sp_AF46_10NS;t__SGB4824
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii;t__SGB15333
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB3653;s__GGB3653_SGB4964;t__SGB4964
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Gemmiger;s__Gemmiger_formicilis;t__SGB15300
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus_catus;t__SGB4670
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum_hallii;t__SGB4532
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii;t__SGB15317
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus_bicirculans;t__SGB4262
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_sp_ER4;t__SGB15254
k__Bacteria;p__Firmicutes;c__CFGB15209;o__OFGB15209;f__FGB15209;g__GGB9293;s__GGB9293_SGB14250;t__SGB14250
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_wexlerae;t__SGB4837
k__Bacteria;p__Firmicutes;c__CFGB38642;o__OFGB38642;f__FGB38642;g__GGB9758;s__GGB9758_SGB15368;t__SGB15368
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Evtepia;s__Evtepia_gabavorous;t__SGB15120
k__Bacteria;p__Firmicutes;c__CFGB76783;o__OFGB76783;f__FGB76783;g__GGB80011;s__GGB80011_SGB15265;t__SGB15265
k__Bacteria;p__Actinobacteria;c__CFGB2992;o__OFGB2992;f__FGB2992;g__GGB9411;s__GGB9411_SGB14764;t__SGB14764_group
k__Bacteria;p__Firmicutes;c__CFGB45503;o__OFGB45503;f__FGB45503;g__GGB9790;s__GGB9790_SGB15413;t__SGB15413
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__GGB9691;s__GGB9691_SGB15198;t__SGB15198
k__Bacteria;p__Firmicutes;c__CFGB1354;o__OFGB1354;f__FGB1354;g__GGB3304;s__GGB3304_SGB4367;t__SGB4367
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__GGB9747;s__GGB9747_SGB15356;t__SGB15356
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter_saccharivorans;t__SGB4874
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB79634;s__GGB79634_SGB101324;t__SGB101324
k__Bacteria;p__Firmicutes;c__Firmicutes_unclassified;o__Firmicutes_unclassified;f__Firmicutes_unclassified;g__Firmicutes_unclassified;s__Firmicutes_bacterium_AF16_15;t__SGB4993
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_obeum;t__SGB4811
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB3341;s__GGB3341_SGB4420;t__SGB4420
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lacrimispora;s__Lacrimispora_celerecrescens;t__SGB4868
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9608;s__GGB9608_SGB15041;t__SGB15041
k__Bacteria;p__Firmicutes;c__CFGB1249;o__OFGB1249;f__FGB1249;g__GGB3033;s__GGB3033_SGB4029;t__SGB4029
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii;t__SGB15318
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_wexlerae;t__SGB4831
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_luti;t__SGB4832
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB33469;s__GGB33469_SGB15236;t__SGB15236
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_bacterium;t__SGB4781
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Eubacterium_rectale;t__SGB4933
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9634;s__GGB9634_SGB15099;t__SGB15099
k__Bacteria;p__Firmicutes;c__CFGB58251;o__OFGB58251;f__FGB58251;g__GGB9762;s__GGB9762_SGB15377;t__SGB15377
k__Bacteria;p__Firmicutes;c__CFGB3068;o__OFGB3068;f__FGB3068;g__GGB9760;s__GGB9760_SGB15374;t__SGB15374
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_glucerasea;t__SGB4804
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii;t__SGB15316
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_sp_AF02_12;t__SGB4938
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_faecicola;t__SGB4867
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__GGB79734;s__GGB79734_SGB15291;t__SGB15291
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus_comes;t__SGB4577
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB9568;s__GGB9568_SGB14980;t__SGB14980
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Eubacteriales_unclassified;s__Clostridiales_bacterium_KLE1615;t__SGB5090
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_faecis;t__SGB4820
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_bacterium;t__SGB4269
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_SGB4815;t__SGB4815
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium_SGB15346;t__SGB15346
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_bacterium;t__SGB4782
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_Family_XIII_Incertae_Sedis;g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified;s__Clostridiales_Family_XIII_bacterium_BX16;t__SGB3957
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__GGB9787;s__GGB9787_SGB15410;t__SGB15410
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter_sp_BX15;t__SGB15053
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii;t__SGB2295
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__GGB9697;s__GGB9697_SGB15213;t__SGB15213
k__Bacteria;p__Firmicutes;c__CFGB1226;o__OFGB1226;f__FGB1226;g__GGB2998;s__GGB2998_SGB3989;t__SGB3989
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea;s__Dorea_formicigenerans;t__SGB4575
k__Bacteria;p__Firmicutes;c__CFGB75721;o__OFGB75721;f__FGB75721;g__GGB9524;s__GGB9524_SGB14924;t__SGB14924
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia_equolifaciens;t__SGB14797
k__Bacteria;p__Firmicutes;c__CFGB1359;o__OFGB1359;f__FGB1359;g__GGB3321;s__GGB3321_SGB4394;t__SGB4394
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9699;s__GGB9699_SGB15216;t__SGB15216
k__Bacteria;p__Firmicutes;c__CFGB76398;o__OFGB76398;f__FGB76398;g__GGB9289;s__GGB9289_SGB14244;t__SGB14244
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum_soehngenii;t__SGB4537
k__Bacteria;p__Firmicutes;c__CFGB76465;o__OFGB76465;f__FGB76465;g__GGB80140;s__GGB80140_SGB15224;t__SGB15224
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4567;s__GGB4567_SGB6308;t__SGB6308
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_massiliensis;t__SGB4826
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__Ruminococcus_lactaris;t__SGB4557
k__Bacteria;p__Firmicutes;c__CFGB3070;o__OFGB3070;f__FGB3070;g__GGB9775;s__GGB9775_SGB15395;t__SGB15395
k__Bacteria;p__Firmicutes;c__CFGB3068;o__OFGB3068;f__FGB3068;g__GGB9760;s__GGB9760_SGB15373;t__SGB15373
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii;t__SGB15342
k__Bacteria;p__Firmicutes;c__CFGB76388;o__OFGB76388;f__FGB76388;g__GGB9186;s__GGB9186_SGB14125;t__SGB14125
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea;s__Dorea_longicatena;t__SGB4582
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Gemmiger;s__Gemmiger_SGB15299;t__SGB15299
k__Bacteria;p__Firmicutes;c__CFGB3069;o__OFGB3069;f__FGB3069;g__GGB9767;s__GGB9767_SGB15384;t__SGB15384
k__Archaea;p__Thaumarchaeota;c__Thaumarchaeota_unclassified;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus_SGB14899;t__SGB14899
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9713;s__GGB9713_SGB15249;t__SGB15249
k__Bacteria;p__Firmicutes;c__CFGB3043;o__OFGB3043;f__FGB3043;g__GGB9551;s__GGB9551_SGB14958;t__SGB14958
k__Bacteria;p__Firmicutes;c__CFGB2960;o__OFGB2960;f__FGB2960;g__GGB9302;s__GGB9302_SGB14263;t__SGB14263
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena_fissicatena;t__SGB4871
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__GGB4687;s__GGB4687_SGB6484;t__SGB6484
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillospiraceae_unclassified;s__Clostridium_leptum;t__SGB14853
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_sp_OF03_15BH;t__SGB4779
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea;s__Dorea_sp_AF36_15AT;t__SGB4552
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp_AF36_4;t__SGB4644
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;t__SGB713
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_sp_MSK_20_85;t__SGB4828
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_hominis;t__SGB4936
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Eubacteriales_unclassified;s__Clostridiales_bacterium_NSJ_40;t__SGB72336
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB2982;s__GGB2982_SGB3964;t__SGB3964
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Waltera;s__Waltera_intestinalis;t__SGB4910
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB9522;s__GGB9522_SGB14921;t__SGB14921
k__Bacteria;p__Firmicutes;c__CFGB3048;o__OFGB3048;f__FGB3048;g__GGB9559;s__GGB9559_SGB14969;t__SGB14969
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB9531;s__GGB9531_SGB14932;t__SGB14932
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter_laneus;t__SGB1792
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9636;s__GGB9636_SGB15107;t__SGB15107
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii;t__SGB15326
k__Bacteria;p__Firmicutes;c__CFGB1011;o__OFGB1011;f__FGB1011;g__GGB2653;s__GGB2653_SGB3574;t__SGB3574
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB3532;s__GGB3532_SGB4720;t__SGB4720
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaeromassilibacillus;s__Anaeromassilibacillus_sp_An250;t__SGB14894
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillospiraceae_unclassified;s__Eubacterium_siraeum;t__SGB4198
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruthenibacterium;s__Ruthenibacterium_lactatiformans;t__SGB15271
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9634;s__GGB9634_SGB15097;t__SGB15097
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_SGB15196;t__SGB15196
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Paratractidigestivibacter;s__Paratractidigestivibacter_faecalis;t__SGB14370
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis;t__SGB2318
k__Bacteria;p__Firmicutes;c__CFGB72926;o__OFGB72926;f__FGB72926;g__GGB3614;s__GGB3614_SGB4886;t__SGB4886
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_unclassified;g__Lawsonibacter;s__Lawsonibacter_asaccharolyticus;t__SGB15154
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__GGB45432;s__GGB45432_SGB63101;t__SGB63101
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB9176;s__GGB9176_SGB14114;t__SGB14114
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter_butyricigenes;t__SGB25493
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma;s__Collinsella_massiliensis;t__SGB14752
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9635;s__GGB9635_SGB15103;t__SGB15103
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__Ruminococcus_torques;t__SGB4608
k__Bacteria;p__Firmicutes;c__CFGB1337;o__OFGB1337;f__FGB1337;g__GGB3254;s__GGB3254_SGB4301;t__SGB4301
k__Bacteria;p__Firmicutes;c__CFGB3529;o__OFGB3529;f__FGB3529;g__GGB3570;s__GGB3570_SGB4777;t__SGB4777
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus_champanellensis;t__SGB4418
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_Family_XIII_Incertae_Sedis;g__GGB2980;s__GGB2980_SGB3962;t__SGB3962
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas_coprocola;t__SGB15089
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacteriaceae_unclassified;s__Eubacteriaceae_bacterium;t__SGB3958
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_bacterium_OF09_6;t__SGB4966
k__Bacteria;p__Firmicutes;c__CFGB76783;o__OFGB76783;f__FGB76783;g__GGB80011;s__GGB80011_SGB15267;t__SGB15267
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_communis;t__SGB2290
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas_SGB15086;t__SGB15086
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus_sp_AF41_9;t__SGB25497
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB9545;s__GGB9545_SGB14952;t__SGB14952
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea;s__Dorea_sp_AF24_7LB;t__SGB4571
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis;t__SGB1836
k__Bacteria;p__Firmicutes;c__CFGB3172;o__OFGB3172;f__FGB3172;g__GGB10692;s__GGB10692_SGB17347;t__SGB17347
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Hydrogenoanaerobacterium;s__Hydrogenoanaerobacterium_saccharovorans;t__SGB15350
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri_clade_A;t__SGB1626
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_catenulatum;t__SGB17241
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__GGB9781;s__GGB9781_SGB15402;t__SGB15402
k__Bacteria;p__Candidatus_Melainabacteria;c__Candidatus_Melainabacteria_unclassified;o__Candidatus_Gastranaerophilales;f__Candidatus_Gastranaerophilales_unclassified;g__Candidatus_Gastranaerophilales_unclassified;s__Candidatus_Gastranaerophilales_bacterium;t__SGB8601
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9640;s__GGB9640_SGB15115;t__SGB15115
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_bacterium_Marseille_Q4251;t__SGB4780
k__Bacteria;p__Firmicutes;c__CFGB1262;o__OFGB1262;f__FGB1262;g__GGB3061;s__GGB3061_SGB4063;t__SGB4063
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_Family_XIII_Incertae_Sedis;g__GGB2977;s__GGB2977_SGB3959;t__SGB3959
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__GGB9759;s__GGB9759_SGB15370;t__SGB15370
k__Bacteria;p__Firmicutes;c__CFGB2932;o__OFGB2932;f__FGB2932;g__GGB9261;s__GGB9261_SGB14209;t__SGB14209
k__Bacteria;p__Firmicutes;c__CFGB38642;o__OFGB38642;f__FGB38642;g__GGB9766;s__GGB9766_SGB15383;t__SGB15383
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__GGB9786;s__GGB9786_SGB15409;t__SGB15409
k__Bacteria;p__Firmicutes;c__CFGB3071;o__OFGB3071;f__FGB3071;g__GGB9778;s__GGB9778_SGB15398;t__SGB15398
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4569;s__GGB4569_SGB6310;t__SGB6310
k__Bacteria;p__Firmicutes;c__CFGB10325;o__OFGB10325;f__FGB10325;g__GGB4669;s__GGB4669_SGB6458;t__SGB6458
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__GGB9781;s__GGB9781_SGB66170;t__SGB66170
k__Bacteria;p__Firmicutes;c__CFGB2915;o__OFGB2915;f__FGB2915;g__GGB36267;s__GGB36267_SGB14177;t__SGB14177
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium_SGB15315;t__SGB15315
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4569;s__GGB4569_SGB6312;t__SGB6312
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB9602;s__GGB9602_SGB15031;t__SGB15031
k__Bacteria;p__Firmicutes;c__CFGB9828;o__OFGB9828;f__FGB9828;g__GGB35597;s__GGB35597_SGB49163;t__SGB49163
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus_SGB4342;t__SGB4342
